press_date_at,die_number,pressing_type,plan_billet_quantities,actual_billet_quantities,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351
06-25,SY50M-V01B,〇,1,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-24,VJ10M-V01D,〇,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-24,XLA25B2-V01B,◎,6,6,14,3,11,06-28,08-24,07-08,08-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
06-23,MHY10B-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-23,MHY16B-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-22,SY30M-V01B,〇,4,4,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-18,SY30M-V01B,〇,1,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-18,VV15M1-V01D,〇,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-17,VV15M1-V01D,〇,5,2,77,36,41,06-21,,07-05,07-23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
06-17,DXT155M-V01D,〇,5,5,115,,,06-22,,07-19,07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-17,MHY25B-V01D,〇,1,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-15,DXT192M1-V01D,◎,5,5,74,10,64,06-21,,07-05,07-16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
06-15,VV10M1-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-15,VV14M1-V01D,〇,5,5,109,,,06-20,,07-05,07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-14,MHY20B-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-11,SY30M-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-11,XLA16BN-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10,XLA16B2-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10,XLA40B2-V01B,〇,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-08,SY70M-V01B,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-08,VJ30M1-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-05,SY50MP-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-05,SY30MP-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-05,SY50M-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-03,VV15M1-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-03,APT4-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-03,APT6-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-01,VV14M1-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-28,DXT192M1-V01D,〇,1,1,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-25,SY30M-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-21,DXT155M-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-18,MXS20TB-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-18,MXS25TB-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-17,MXS16TB-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-13,MXS12TB-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-06,MSQ20B2-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-06,MSQ30B2-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-06,MSQ50B2-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-29,CRQ30B-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-29,CRQ40B-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-29,MSQ10B2-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-28,CRQ15B-V01C,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-28,CRQ20B-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-27,MXW16B-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-27,MXW20B-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-23,CUJ20A-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-23,CUJ16A-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-20,CUJ12A-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-16,CQ50T-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09,VJ30M1-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09,XLA25BN-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-07,VJ10M-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-05,VV15M1-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-03,VV14M1-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01,DXT192M1-V01D,〇,1,1,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-26,DXT155M-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-23,MYB20H1-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
